
78310. Place: Zamość, Year: 1748  
57209. Place: -, Year: -
67803. Place: -, Year: -
17439. Place: -, Year: -
23942. Place: Berlin, Year: 1863
49861. Place: Warszawa, Year: 1886
49333. Place: -, Year: -
176113. Place: -, Year: -
59957. Place: Warszawa, Year: 1881
78007. Place: Warszawa, Year: 1883
123796. Place: -, Year: 1795
73907. Place: -, Year: -
208932. Place: -, Year: -
79945. Place: Kraków, Year: 1894
179082. Place: -, Year: 1764
17971. Place: -, Year: -
89069. Place: Lwów, Year: 1874
200861. Place: -, Year: -
18280. Place: -, Year: -
81014. Place: Warszawa, Year: 1873
181456. Place: -, Year: 1740
70628. Place: Kraków, Year: 1869
38879. Place: Pelplin, Year: 1897
77480. Place: -, Year: 1793
90601. Place: Głogów, Year: -
165506. Place: -, Year: -
60640. Place: Warszawa, Year: 1843
66924. Place: Warszawa, Year: 1880
97776. Place: -, Year: -
10988. Place: Chełmno, Year: 1848
23158. Place: Chełmno, Year: 1865
162615. Place: Kraków, Year: 1777
195327. Place: Łowicz, Year: 1764
149942. Place: Kraków, Year: 1526
59895. Place: -, Year: -
53926. Place: -, Year: -
147328. Place: -, Year: -
221892. Place: Drezno, Year: 1745
145735. Place: -, Year: -
174698. Place: -, Year: -
176659. Place: -, Year: -
204141. Place: Frankfurt, Year: 1798
179734. Place: -, Year: 1780
92208. Place: Moskwa, Year: 1886
184487. Place: -, Year: -
21578. Place: -, Year: -
180931. Place: Rostoki, Year: 1683
49362. Place: -, Year: -
72192. Place: -, Year: -
88569. Place: -, Year: -
1227. Place: -, Year: -
73123. Place: Sankt Petersburg, Year: 1881
74466. Place: -, Year: -
94242. Place: -, Year: -
115706. Place: Warszawa, Year: 1641
21898. Place: Elbląg, Year: 1637
111780. Place: -, Year: -
197623. Place: -, Year: -
91253. Place: -, Year: 1830
205612. Place: Braniewo, Year: 1653
140160. Place: Lwów, Year: 1769
176146. Place: Kraków, Year: 1694
82896. Place: -, Year: -
186863. Place: Lejda, Year: 1627
217716. Place: -, Year: -
19067. Place: -, Year: -
162968. Place: -, Year: -
146394. Place: Wilno, Year: 1602
185290. Place: -, Year: -
10709. Place: Halberstadt, Aschersleben, Year: -
34966. Place: Warszawa, Year: 1895
168114. Place: -, Year: -
4. Place: Brzeg, Year: 1840
29216. Place: -, Year: -
88202. Place: Lwów, Year: -
200808. Place: -, Year: -
11067. Place: -, Year: -
115205. Place: Kraków, Year: 1607
167643. Place: Lublin, Year: 1567
97056. Place: -, Year: -
27167. Place: -, Year: -
106923. Place: -, Year: -
133098. Place: -, Year: -
11700. Place: Warszawa, Year: 1886
31919. Place: -, Year: -
9001. Place: Darmstadt, Year: 1832
6293. Place: Kraków, Year: 1882
216125. Place: Gdańsk, Year: 1642
78054. Place: Lwów, Year: 1852
54074. Place: -, Year: -
116186. Place: -, Year: -
107738. Place: Kraków, Year: 1896
2126. Place: Przemyśl, Year: 1773
192371. Place: Giessen, Year: 1673
189391. Place: -, Year: -
113889. Place: -, Year: -
98425. Place: Wilno, Year: 1812
49800. Place: -, Year: -
65079. Place: Lwów, Year: 1879
191129. Place: Supraśl, Year: -
90827. Place: -, Year: -
119285. Place: -, Year: -
123946. Place: -, Year: -
126435. Place: Ravìcii, Year: 1759
199486. Place: -, Year: 1608
93993. Place: Warszawa, Year: 1896
153171. Place: Warszawa, Year: 1691
198848. Place: -, Year: 1751
190651. Place: Kalisz, Year: 1748
183713. Place: -, Year: -
20545. Place: Warszawa, Year: 1692
38135. Place: -, Year: -
119747. Place: Wilno, Year: -
43209. Place: -, Year: -
73350. Place: -, Year: -
68439. Place: -, Year: -
11590. Place: Pietierburg, Year: 1875
27443. Place: -, Year: -
218943. Place: Kolonia, Year: 1578
198089. Place: Racoviae, Year: 1618
97716. Place: -, Year: -
217272. Place: Gdańsk, Year: 1654
207869. Place: -, Year: -
5246. Place: Warszawa, Year: 1883
94257. Place: Warszawa, Year: 1816
219294. Place: -, Year: -
179553. Place: Kraków, Year: 1649
161233. Place: -, Year: 1732
124225. Place: Kraków, Year: 1527
107151. Place: -, Year: -
148267. Place: -, Year: -
53096. Place: -, Year: -
75002. Place: Gdańsk, Year: 1639
189838. Place: -, Year: -
174763. Place: Kraków, Year: 1600
7934. Place: Kraków, Year: 1893
82721. Place: -, Year: -
191701. Place: -, Year: -
182532. Place: Wilno, Year: 1632
221944. Place: Leszno, Year: 1702
222410. Place: -, Year: -
68225. Place: Warszawa, Year: 1872
36579. Place: -, Year: -
195926. Place: -, Year: -
32202. Place: -, Year: -
189227. Place: Poznań, Year: 1752
18338. Place: -, Year: -
62093. Place: -, Year: 1747
220814. Place: -, Year: -
1906. Place: -, Year: -
17572. Place: Wilno, Year: 1762
39684. Place: -, Year: -
1463. Place: -, Year: -
38288. Place: Praga, Year: 1865
203001. Place: Lipsk, Year: 1582
15967. Place: -, Year: 1805
21008. Place: Tarnopol, Year: 1879
56078. Place: -, Year: -
146075. Place: -, Year: -
209002. Place: -, Year: 1624
48981. Place: -, Year: -
78819. Place: Wilno, Year: 1841
50790. Place: Kraków, Year: 1878
2448. Place: Królewiec, Year: 1643
25886. Place: -, Year: -
182137. Place: -, Year: 1766
147387. Place: -, Year: -
54134. Place: -, Year: -
88448. Place: Chełmno, Year: 1888
156250. Place: -, Year: -
171629. Place: -, Year: -
192968. Place: -, Year: 1652
50612. Place: Kraków, Year: 1514
50731. Place: Norymberga, Year: 1571
197974. Place: Wrocław, Year: 1683
67827. Place: Paryż, Year: 1816
68980. Place: Kraków, Year: 1880
211976. Place: -, Year: -
220638. Place: -, Year: 1612
170543. Place: Kraków, Year: 1790
193751. Place: -, Year: -
211831. Place: -, Year: -
14718. Place: Paryż, Year: 1883
111591. Place: Wiedeń, Year: 1797
172944. Place: -, Year: -
96362. Place: -, Year: 1825
159784. Place: -, Year: -
49414. Place: Leszno, Year: 1643
165249. Place: -, Year: -
113263. Place: -, Year: -
2480. Place: Wrocław, Year: 1899
21235. Place: Bydgoszcz, Year: 1894
53326. Place: -, Year: -
76664. Place: -, Year: -
215074. Place: -, Year: 1800
70480. Place: Wiedeń, Year: 1851
25486. Place: Kraków, Year: 1889
113068. Place: Chicago, Year: 1887
117969. Place: Warszawa, Year: 1795
196226. Place: -, Year: -
40354. Place: -, Year: -
88844. Place: -, Year: 1780
196646. Place: -, Year: 1656
22488. Place: Kraków, Year: 1865
92130. Place: -, Year: 1757
105663. Place: Londyn, Year: -
102709. Place: -, Year: -
57734. Place: -, Year: -
218003. Place: -, Year: -
81646. Place: Warszawa, Year: 1893
141271. Place: -, Year: -
217353. Place: -, Year: -
20251. Place: -, Year: 1793
54533. Place: -, Year: -
111633. Place: Paryż, Year: 1768
86985. Place: Warszawa, Year: 1886
198753. Place: -, Year: 1782
91137. Place: -, Year: -
60514. Place: -, Year: 1775
26950. Place: Wilno, Year: -
97680. Place: -, Year: -
17891. Place: Warszawa, Year: 1850
138380. Place: Brzeg, Year: 1691
28580. Place: -, Year: -
113393. Place: -, Year: -
175593. Place: -, Year: -
71955. Place: -, Year: -
102742. Place: Kijów, Year: 1879
169369. Place: -, Year: 1780
67123. Place: Évreux, Year: 1881
58252. Place: Inowrocław, Year: 1896
44608. Place: -, Year: -
104179. Place: Warszawa, Year: 1889
153227. Place: Warszawa, Year: 1683
185876. Place: Gdańsk, Year: 1750
203138. Place: Toruń, Year: 1872
148370. Place: Amsterdam, Year: 1735
109516. Place: -, Year: -
217797. Place: -, Year: -
73329. Place: Toruń, Year: 1872
15278. Place: Warszawa, Year: 1890
26595. Place: -, Year: -
31536. Place: -, Year: -
103353. Place: Kraków, Year: 1840
8490. Place: Kraków, Year: 1865
218198. Place: -, Year: -
60338. Place: Mitawa, Year: 1787
81348. Place: -, Year: -
93212. Place: Warszawa, Year: 1894
60421. Place: -, Year: -
107683. Place: -, Year: -
9161. Place: -, Year: -
187668. Place: -, Year: -
98227. Place: -, Year: -
185535. Place: Warszawa, Year: 1764
158650. Place: Lwów, Year: 1765
72919. Place: -, Year: -
108423. Place: -, Year: -
177769. Place: -, Year: -
146476. Place: Lipsk, Year: 1726
96357. Place: Warszawa, Year: 1885
179570. Place: -, Year: 1583
206777. Place: Kraków, Year: 1516
199521. Place: Kraków, Year: 1636
132313. Place: Kraków, Year: 1653
45301. Place: -, Year: -
161947. Place: Kraków, Year: 1626
149302. Place: -, Year: 1683
22080. Place: Padwa, Year: 1562
178305. Place: -, Year: -
113676. Place: Wilno, Year: 1641
95579. Place: Wilno, Year: 1887
61058. Place: Lwów, Year: 1848
221118. Place: -, Year: -
116965. Place: -, Year: -
100318. Place: Nowy Jork, Year: 1900
75387. Place: Zamość, Year: 1771
14661. Place: Berlin, Year: 1801
115910. Place: Paryż, Year: 1545
147728. Place: Wilno, Year: 1766
68651. Place: Zurych, Year: 1884
132438. Place: Lublin, Year: 1758
53484. Place: -, Year: -
126626. Place: -, Year: -
60279. Place: Poznań, Year: 1895
31912. Place: -, Year: -
133789. Place: -, Year: 1786
163318. Place: -, Year: -
12550. Place: Kraków, Year: 1866
107020. Place: -, Year: -
184133. Place: -, Year: -
202436. Place: Rzym, Year: 1624
204129. Place: Wiedeń, Year: 1719
149875. Place: Kraków, Year: 1761
1200. Place: -, Year: -
75429. Place: -, Year: -
162947. Place: -, Year: -
102739. Place: -, Year: -
162844. Place: -, Year: 1791
78535. Place: Poznań, Year: 1678
98956. Place: -, Year: -
210315. Place: Lipsk, Year: 1789
5827. Place: Lwów, Year: 1892  
43495. Place: -, Year: -  
190374. Place: -, Year: 1687  
67151. Place: Jelisawietgrad, Year: 1891  
51999. Place: -, Year: -  
86903. Place: Kraków, Year: 1889  
183640. Place: Kraków, Year: -  
51299. Place: Moskwa, Year: 1882  
138926. Place: -, Year: -  
161282. Place: Wrocław, Year: 1763  
98538. Place: -, Year: -  
209866. Place: -, Year: -  
193644. Place: -, Year: -  
82836. Place: Warszawa, Year: 1891  
20621. Place: -, Year: 1740  
220739. Place: Warszawa, Year: 1639  
187033. Place: -, Year: 1674  
211880. Place: Kraków, Year: 1637  
16461. Place: Paris, Year: 1821  
47602. Place: -, Year: -  
97548. Place: -, Year: -  
175912. Place: -, Year: -  
91149. Place: -, Year: -  
215491. Place: -, Year: -  
44659. Place: -, Year: -  
69608. Place: -, Year: -  
60214. Place: Warszawa, Year: 1879  
87312. Place: Wilno, Year: 1807  
92847. Place: -, Year: -  
192214. Place: -, Year: 1726  
57456. Place: -, Year: -  
6377. Place: -, Year: -  
64260. Place: Kraków, Year: 1887  
75227. Place: -, Year: -  
198094. Place: Kraków, Year: 1618  
52756. Place: -, Year: -  
92172. Place: Lwów, Year: 1848  
91091. Place: Kraków, Year: 1550  
61691. Place: London, Year: 1792  
6250. Place: -, Year: -  
77126. Place: Oleśnica, Year: 1668  
46551. Place: Kijów, Year: 1694  
91671. Place: Wiedeń, Year: 1854  
49670. Place: Warszawa, Year: 1898  
210053. Place: -, Year: 1698  
89291. Place: -, Year: 1856  
34084. Place: -, Year: -  
218487. Place: -, Year: -  
124150. Place: -, Year: 1776  
48668. Place: -, Year: -
214288. Place: -, Year: -
107218. Place: -, Year: -
21376. Place: Nowy Sącz, Year: 1897
178141. Place: Wrocław, Year: 1631
261. Place: -, Year: -
91875. Place: -, Year: 1673
20422. Place: Warszawa, Year: 1868
50631. Place: Wilno, Year: 1786
26953. Place: Wilno, Year: 1809
86002. Place: Warszawa, Year: -
48544. Place: -, Year: -
28439. Place: -, Year: -
218994. Place: -, Year: -
127756. Place: -, Year: 1607
1980. Place: Szamotuły, Year: 1559
78113. Place: -, Year: -
45379. Place: -, Year: -
176170. Place: Kraków, Year: 1597
187412. Place: Warszawa, Year: 1748
17547. Place: -, Year: -
63918. Place: Petersburg, Year: 1854
102743. Place: -, Year: -
154122. Place: -, Year: -
188189. Place: Kalisz, Year: 1740
70868. Place: Warszawa, Year: 1895
76278. Place: Kraków, Year: 1900
20329. Place: -, Year: 1786
25616. Place: Warszawa, Year: 1859
12092. Place: Chicago Ill., Year: 1880
4005. Place: -, Year: -
2109. Place: Przemyśl, Year: 1759
172659. Place: Poznań, Year: 1667
98192. Place: Kraków, Year: 1863
19985. Place: Kraków, Year: 1848
164366. Place: -, Year: 1624
89012. Place: Kolonia, Year: -
211620. Place: -, Year: -
161635. Place: -, Year: -
147413. Place: -, Year: -
201181. Place: Kolonia, Year: 1583
185099. Place: -, Year: -
76353. Place: Poznań, Year: 1898
109249. Place: Rzeszów, Year: 1861
9064. Place: Upsala, Year: 1854
10585. Place: Toruń, Year: -
97047. Place: -, Year: -
80679. Place: -, Year: -
114718. Place: -, Year: 1776
132590. Place: -, Year: 1738
202505. Place: -, Year: -
196842. Place: -, Year: -
113559. Place: -, Year: 1773
17184. Place: Zürich, Year: 1870
1836. Place: Kraków, Year: 1861
88738. Place: -, Year: 1860
89869. Place: -, Year: -
175414. Place: -, Year: -
24277. Place: -, Year: -
44355. Place: -, Year: -
218137. Place: Petersburg, Year: 1759
78966. Place: -, Year: -
142073. Place: Wilno, Year: 1639
116931. Place: Braniewo, Year: 1773
51315. Place: Warszawa, Year: 1868
124089. Place: -, Year: -
25676. Place: Warszawa, Year: 1894
56225. Place: -, Year: -
5794. Place: Paris, Year: 1859
151172. Place: -, Year: -
69802. Place: Kraków, Year: 1886
6821. Place: -, Year: -
62974. Place: -, Year: -
172822. Place: -, Year: -
179085. Place: -, Year: -
189037. Place: -, Year: -
149832. Place: -, Year: 1733
199979. Place: Erfurt, Year: 1780
220797. Place: -, Year: -
98058. Place: Poznań, Year: 1878
189066. Place: Poznań, Year: 1756
199779. Place: Kraków, Year: -
169890. Place: -, Year: -
101219. Place: Kraków, Year: 1808
46674. Place: -, Year: -
175980. Place: -, Year: -
174442. Place: -, Year: -
180331. Place: -, Year: -
60891. Place: Poznań, Year: -
167450. Place: -, Year: -
155419. Place: Gdańsk, Year: 1704
59765. Place: -, Year: -
1709. Place: -, Year: -
81316. Place: -, Year: -
216678. Place: Gdańsk, Year: 1651
46817. Place: -, Year: 1776
26427. Place: -, Year: -
73360. Place: -, Year: -
22639. Place: -, Year: -
167968. Place: -, Year: 1792
18683. Place: -, Year: -
193960. Place: Frankfurt, Year: 1600  
38088. Place: -, Year: -  
49656. Place: -, Year: 1656  
70840. Place: -, Year: -  
54469. Place: -, Year: -  
98223. Place: -, Year: -  
6681. Place: Kraków, Year: 1649  
175890. Place: Lwów, Year: 1593  
192495. Place: Gdańsk, Year: 1689  
181646. Place: -, Year: 1790  
176620. Place: Lwów, Year: 1593  
24967. Place: -, Year: -  
217218. Place: -, Year: 1703  
59000. Place: Warszawa, Year: 1883  
67741. Place: -, Year: -  
221232. Place: -, Year: -  
189517. Place: Poznań, Year: 1747  
140669. Place: Rzym, Year: 1724  
154362. Place: Rzym, Year: 1775  
100702. Place: Lublin, Year: 1816  
51725. Place: Jasło, Year: 1894  
54252. Place: -, Year: -  
131604. Place: Poznań, Year: 1627  
78412. Place: Lwów, Year: 1883  
216675. Place: Gdańsk, Year: 1650  
128382. Place: -, Year: 1603  
221292. Place: -, Year: -  
109498. Place: Warszawa, Year: 1774  
219130. Place: Wilno, Year: 1794  
159500. Place: -, Year: -  
5237. Place: Praga, Year: 1891  
16353. Place: -, Year: -  
18001. Place: Wrocław, Year: 1566  
106850. Place: -, Year: -  
34758. Place: -, Year: -  
219966. Place: -, Year: 1791  
61888. Place: Kraków, Year: 1875  
64024. Place: -, Year: -  
42782. Place: -, Year: -  
171716. Place: Lwów, Year: 1754  
6897. Place: -, Year: -  
28616. Place: -, Year: -  
27912. Place: -, Year: -  
49491. Place: Łuck, Year: 1632  
75333. Place: Warszawa, Year: 1893  
52783. Place: -, Year: -  
211809. Place: -, Year: -  
28089. Place: -, Year: -  
150585. Place: Strasburg, Year: 1594  
128152. Place: -, Year: -
175762. Place: Kraków, Year: 1607  
185651. Place: -, Year: 1734  
49373. Place: -, Year: -  
80618. Place: Kraków, Year: 1887  
172476. Place: -, Year: 1782  
40565. Place: -, Year: -  
193722. Place: Warszawa, Year: 1760  
21950. Place: Piła, Year: 1861  
89198. Place: Gdańsk, Year: 1620  
28987. Place: -, Year: -  
170588. Place: -, Year: -  
113084. Place: -, Year: -  
79460. Place: -, Year: -  
92691. Place: Królewiec, Year: 1870  
129311. Place: Paryż, Year: 1560  
184218. Place: Kraków, Year: 1666  
175477. Place: Kraków, Year: 1673  
180552. Place: -, Year: 1733  
168078. Place: -, Year: -  
10536. Place: Poznań, Year: 1872  
917. Place: Warszawa, Year: 1858  
140180. Place: -, Year: -  
111568. Place: Braniewo, Year: 1771  
101900. Place: Warszawa, Year: 1886  
2668. Place: Warszawa, Year: -  
17454. Place: -, Year: -  
188042. Place: Kraków, Year: 1658  
119349. Place: Częstochowa, Year: 1779  
213468. Place: Lwów, Year: 1785  
116115. Place: Oława, Year: 1684  
109249. Place: Kraków, Year: 1648  
190455. Place: -, Year: -  
218392. Place: -, Year: -  
208906. Place: Warszawa, Year: 1764  
63560. Place: Wiedeń, Year: 1853  
192680. Place: Gdańsk, Year: 1636  
88336. Place: Warszawa, Year: 1898  
132387. Place: -, Year: -  
141120. Place: -, Year: -  
92306. Place: -, Year: -  
58327. Place: -, Year: -  
86022. Place: Chełmno, Year: 1850  
218661. Place: Livorno, Year: 1725  
18943. Place: Lublin, Year: 1876  
7008. Place: Warszawa, Year: 1888  
190405. Place: Warszawa, Year: 1790  
78662. Place: -, Year: -  
74316. Place: -, Year: -  
127207. Place: Gdańsk, Year: 1712  
73866. Place: Paryż, Year: 1861
80897. Place: -, Year: -
179308. Place: -, Year: -
183089. Place: -, Year: -
153444. Place: -, Year: -
204530. Place: -, Year: -
32173. Place: -, Year: -
47698. Place: -, Year: -
111636. Place: -, Year: -
197455. Place: -, Year: -
54206. Place: -, Year: -
73755. Place: -, Year: -
152891. Place: Łowicz, Year: 1761
211250. Place: Warszawa, Year: 1792
117219. Place: -, Year: -
56355. Place: -, Year: -
216452. Place: -, Year: -
90033. Place: Warszawa, Year: 1896
84516. Place: Kraków, Year: 1879
61163. Place: Supraśl, Year: 1743
106649. Place: -, Year: -
14013. Place: Warszawa, Year: 1879
82504. Place: -, Year: -
191176. Place: -, Year: -
180669. Place: -, Year: -
73863. Place: -, Year: -
32814. Place: -, Year: -
144515. Place: -, Year: -
95542. Place: Wilno, Year: 1863
213571. Place: -, Year: 1668
173972. Place: -, Year: 1697
1953. Place: -, Year: 1697
173921. Place: -, Year: -
219399. Place: -, Year: 1786
138204. Place: Wilno, Year: 1767
118973. Place: Ingolstadt, Year: 1614
47742. Place: -, Year: -
190855. Place: -, Year: -
31441. Place: -, Year: -
212365. Place: Rzym, Year: 1780
144774. Place: -, Year: -
144149. Place: -, Year: -
70995. Place: -, Year: -
110035. Place: -, Year: -
12869. Place: Poznań, Year: 1894
14616. Place: Wilno, Year: 1828
222880. Place: -, Year: -
23688. Place: Lwów, Year: 1888
123652. Place: -, Year: -
155919. Place: -, Year: -
98530. Place: -, Year: -
159356. Place: Wenecja, Year: 1644  
175635. Place: -, Year: -  
26116. Place: -, Year: 1848  
44042. Place: Kraków, Year: 1632  
197084. Place: Kraków, Year: 1700  
50025. Place: -, Year: -  
14356. Place: Kraków, Year: 1867  
1833. Place: Wilno, Year: 1741  
111907. Place: Kraków, Year: 1528  
86483. Place: Lwów, Year: 1879  
76932. Place: -, Year: -  
153984. Place: -, Year: -  
147422. Place: Kraków, Year: 1721  
212463. Place: -, Year: 1746  
90574. Place: Halle, Year: 1862  
75005. Place: -, Year: 1632  
73426. Place: Warszawa, Year: 1891  
54210. Place: -, Year: -  
173984. Place: Kraków, Year: 1636  
29724. Place: -, Year: -  
18534. Place: Kraków, Year: 1636  
93711. Place: Nowy Jork, Cambridge, Year: 1876  
100210. Place: -, Year: -  
210126. Place: -, Year: -  
23647. Place: Bruksela, Year: 1863  
58986. Place: Wrocław, Year: 1870  
119060. Place: -, Year: -  
206579. Place: -, Year: 1792  
2702. Place: Leszno, Year: 1852  
46134. Place: -, Year: -  
187244. Place: Kraków, Year: 1900  
86910. Place: Kraków, Year: 1900  
49036. Place: -, Year: -  
53640. Place: -, Year: -  
47948. Place: Warszawa, Year: -  
26291. Place: -, Year: -  
5956. Place: Warszawa, Year: 1860  
45844. Place: Kraków, Year: 1535  
24703. Place: Turyn, Year: 1864  
1431. Place: Toruń, Year: 1613  
116541. Place: -, Year: -  
108623. Place: -, Year: -  
73571. Place: Lwów, Year: 1875  
130825. Place: -, Year: 1652  
48904. Place: Wiedeń, Year: 1838  
154377. Place: Paryż, Year: 1647  
174982. Place: -, Year: -  
102674. Place: Warszawa, Year: 1880  
2627. Place: -, Year: -  
60598. Place: Wiedeń, Year: -
89008. Place: Bazylea, Year: 1529  
210182. Place: -, Year: -  
112904. Place: Kraków, Year: 1527  
89096. Place: -, Year: -  
183718. Place: Kremianci, Year: 1638  
16921. Place: -, Year: -  
76806. Place: -, Year: -  
5021. Place: Paryż, Year: 1878  
94885. Place: Kraków, Year: 1863  
206900. Place: -, Year: 1793  
15049. Place: Wilno, Year: 1829  
35828. Place: Nogent-le-Rotrou, Year: 1863  
23197. Place: -, Year: -  
7599. Place: S. Pietierburg, Year: 1890  
57864. Place: -, Year: -  
169168. Place: -, Year: -  
223127. Place: -, Year: -  
21849. Place: Kraków, Year: 1895  
25279. Place: Petersburg, Year: -  
46269. Place: Opole, Year: 1898  
78140. Place: Warszawa, Year: 1775  
165264. Place: Łuck, Year: 1792  
145618. Place: Warszawa, Year: 1778  
161932. Place: Kraków, Year: 1631  
129418. Place: -, Year: -  
222413. Place: -, Year: -  
9259. Place: Kijów, Year: 1864  
197584. Place: -, Year: -  
129879. Place: -, Year: 1762  
158678. Place: -, Year: -  
28193. Place: -, Year: -  
172646. Place: Poznań, Year: 1776  
199340. Place: -, Year: 1797  
16937. Place: -, Year: -  
46830. Place: Śrem, Year: 1892  
48761. Place: Warszawa, Year: 1774  
119952. Place: Gdańsk, Year: 1660  
156495. Place: Kraków, Year: 1775  
65342. Place: Paryż, Year: 1878  
140493. Place: -, Year: -  
88626. Place: Warszawa, Year: 1862  
1102. Place: Lublin, Year: 1842  
16317. Place: Kraków, Year: 1900  
49723. Place: Chicago, Year: 1897  
115941. Place: -, Year: -  
150002. Place: -, Year: -  
58934. Place: Kraków, Year: 1883  
206534. Place: Warszawa, Year: 1789  
159869. Place: -, Year: -  
161229. Place: -, Year: -
206699. Place: Gdańsk, Year: 1780
70625. Place: Warszawa, Year: 1862
108103. Place: -, Year: -
22453. Place: -, Year: -
74844. Place: -, Year: -
20639. Place: -, Year: -
38735. Place: -, Year: -
170271. Place: Warszawa, Year: 1612
19671. Place: Wilno, Year: 1793
58702. Place: Kolonia, Year: 1614
124168. Place: -, Year: 1557
126007. Place: Wittenberg, Year: 1655
1479. Place: Wittenberg, Year: 1649
61429. Place: -, Year: -
34460. Place: Warszawa, Year: 1878
220705. Place: -, Year: 1571
164228. Place: -, Year: -
44224. Place: Warszawa, Year: 1788
57582. Place: -, Year: -
64502. Place: Nowy Targ, Year: 1899
207369. Place: -, Year: -
184194. Place: -, Year: 1794
104268. Place: Paryż, Year: 1844
113539. Place: -, Year: -
83152. Place: -, Year: -
91969. Place: -, Year: -
60302. Place: Warszawa, Year: 1824
87997. Place: -, Year: -
127009. Place: Kraków, Year: 1763
36046. Place: Wiedeń, Year: 1808
187126. Place: Regiomonti, Year: 1711
76971. Place: Gniezno, Year: 1883
75760. Place: Warszawa, Year: 1885
77918. Place: Kraków, Year: 1895
40478. Place: -, Year: -
59066. Place: Amsterdam, Year: 1808
94422. Place: Berlin, Year: 1812
91114. Place: -, Year: -
82835. Place: -, Year: -
163060. Place: Hamburg, Year: 1706
219640. Place: -, Year: -
93357. Place: Kraków, Year: 1871
87782. Place: Berlin, Year: 1853
63700. Place: Lipsk, Year: 1826
82066. Place: -, Year: -
156311. Place: Lipsk, Year: 1753
223000. Place: -, Year: -
1907. Place: -, Year: -
76980. Place: Kraków, Year: 1578
102956. Place: -, Year: -
ID Missing fields  
---|---  
89021 Author, Publisher  
7571 Author, Publisher  
86024 Author, Publisher  
34145 Author, Publisher
9087. Place: Lwów, Year: 1897
113469. Place: Brno, Year: 1886
92288. Place: -, Year: -
2363. Place: Kraków, Year: 1550
1609. Place: Warszawa, Year: 1888
18245. Place: Besançon, Year: 1833
104229. Place: Złoczów, Year: 1890
166259. Place: Toruń, Year: 1581
108888. Place: Rzym, Year: 1749
162716. Place: Wiedeń, Year: 1565
59522. Place: -, Year: -
108880. Place: Poznań, Year: 1886
160493. Place: -, Year: 1651
97781. Place: -, Year: -
50382. Place: -, Year: 1657
47264. Place: Kolonia, Year: 1608
23448. Place: -, Year: -
34276. Place: Gdańsk, Year: 1890
846. Place: -, Year: -
19536. Place: Warszawa, Year: 1733
202875. Place: -, Year: -
68510. Place: -, Year: -
130742. Place: Rzym, Year: 1769
186709. Place: -, Year: -
109695. Place: -, Year: -
125423. Place: Poznań, Year: 1672
78461. Place: -, Year: -
165242. Place: -, Year: -
41393. Place: Poznań, Year: 1852
52204. Place: -, Year: -
148994. Place: -, Year: 1683
73014. Place: Kraków, Year: 1891
202321. Place: -, Year: -
126023. Place: Gdańsk, Year: 1670
44676. Place: Sztokholm, Year: 1600
165490. Place: Gdańsk, Year: 1620
50653. Place: Kraków, Year: 1788
44986. Place: -, Year: -
144760. Place: -, Year: -
109500. Place: Warszawa, Year: 1786
149985. Place: Lwów, Year: 1627
68538. Place: Warszawa, Year: 1888
45506. Place: -, Year: -
76632. Place: -, Year: 1780
24900. Place: Warszawa, Year: 1875
141721. Place: Kraków, Year: 1585
164327. Place: Amsterdam, Year: 1662
113411. Place: -, Year: -
43129. Place: Genewa, Year: 1869
144440. Place: Wilno, Year: 1769
33328. Place: Wilno, Year: 1886  
216295. Place: Gdańsk, Year: 1647  
175727. Place: Kraków, Year: 1645  
102399. Place: Wilno, Year: 1839  
208261. Place: -, Year: 1790  
28379. Place: -, Year: -  
169112. Place: -, Year: -  
60390. Place: Kraków, Year: 1869  
104045. Place: -, Year: -  
12296. Place: Petersburg, Year: 1867  
25801. Place: Warszawa, Year: 1878  
183078. Place: -, Year: -  
169723. Place: Kraków, Year: 1640  
194203. Place: Frankfurt, Year: 1678  
100754. Place: -, Year: -  
53947. Place: -, Year: -  
55527. Place: -, Year: -  
86314. Place: Cieszyn, Year: -  
82593. Place: Warszawa, Year: 1821  
58989. Place: Wrocław, Year: 1763  
11220. Place: Petersburg, Year: 1892  
32822. Place: -, Year: -  
211395. Place: -, Year: -  
199613. Place: Wilno, Year: 1602  
48609. Place: Warszawa, Year: 1893  
89983. Place: -, Year: -  
138311. Place: Berlin, Year: 1796  
26067. Place: Lwów, Year: 1875  
105124. Place: Berlin, Year: -  
143328. Place: -, Year: -  
16895. Place: -, Year: -  
33431. Place: Kraków, Year: 1885  
68132. Place: -, Year: -  
108368. Place: -, Year: -  
146288. Place: -, Year: -  
14170. Place: Kraków, Year: 1894  
16897. Place: -, Year: -  
188700. Place: -, Year: 1794  
35104. Place: Berlin, Year: 1861  
44879. Place: Paris, Year: -  
29678. Place: -, Year: -  
50300. Place: Kraków, Year: 1867  
181475. Place: -, Year: -  
18565. Place: -, Year: -  
88606. Place: -, Year: -  
187247. Place: Paris, Year: 1636  
200533. Place: -, Year: -  
128114. Place: Gdańsk, Year: 1648  
17004. Place: Warszawa, Year: 1882  
12489. Place: -, Year: -
49075. Place: -, Year: -
172144. Place: -, Year: -
198033. Place: -, Year: -
13666. Place: Paryż, Year: 1855
1880. Place: -, Year: -
162667. Place: -, Year: -
88476. Place: Wadowice, Year: 1873
201764. Place: -, Year: -
11588. Place: Warszawa, Year: 1890
18194. Place: Paryż, Year: 1861
